RoverRecord Artist,RoverRecord Bent Genre
Merle Lindsey & His Oklahoma Night Riders,Country
Merle Travis,Country
Merle Travis & Joe Maphis,Country
Metallica,Metal
Method Man,Rap/Hip-hop
MF Doom,Rap/Hip-hop
Michael Burrell (2),Sound/Spoken/Comedy
Michael Jackson,R&B
Michelle Malone And Drag The River (2),AtlantaVerse
michigander,SodaPop
Mick Harvey,PROTO
Micky Dolenz,Stage & Screen
Midnight Oil,SodaPop
Mighty Sparrow,International
Miirrors,Mini Garage
Mike Bloomfield / Al Kooper / Stephen Stills,Super
Mike Cross (4),Billy
Mike Watt,Ska/Punk/Reggae
Miles Davis,Jazz
Miles Davis And Milt Jackson,Jazz
Milt Jackson - Joe Pass - Ray Brown,Jazz
Milt Jackson & Coleman Hawkins,Jazz
Milt Jackson & John Coltrane,Jazz
Milt Jackson & Strings,Jazz
Minor Threat,Ska/Punk/Reggae
Minutemen,Ska/Punk/Reggae
Miriam Makeba,International
Misfits,PROTO
Missing Persons,SodaPop
Mission Of Burma,Ska/Punk/Reggae
Mitch Ryder & The Detroit Wheels,R&B
Mitski,SingSong
Miyuki Hatakeyama,International
moctar,SodaPop
"Modest Mussorgsky / Maurice Ravel / George Szell And The Cleveland Orchestra, Sviatoslav Richter",Classical
Molly Tuttle & Golden Highway,Billy
Molly Tuttle (2),Billy
Monophonics,R&B
Monsters Of Folk,SingSong
Moon Mullican And The Showboys,Country
Morphine (2),SodaPop
Morrissey,PROTO
Mort Garson,Electronic
Mory Kante,International
Motorhead,Metal
Mott The Hoople,GLAM
Mountain,BoogerJam
Mpemba Effect,International
Mr. Pickwick Players & Orchestra,Childrens
Mr. Pickwick Players & Orchestra,SodaPop
Mr. T (2),Stage & Screen
Mt. Joy,SodaPop
Muddy Waters,Blues
Mudhoney,Mini Garage
Mulatu Astatke,Jazz
Mulatu Astatke featuring Fekade Amde Maskal = Mulatu Astatke ጋር Fekade Amde Maskal,Jazz
Munawar Ali Khan,International
Murder By Death,Country
Murder By Death,SodaPop
"Murray Dickie, John Pritchard",Classical
mxmtoon,SodaPop
My Bloody Valentine,SodaPop
My Chemical Romance,SodaPop
"Mychael Danna, Various",Stage & Screen
Myron Cohen,Sound/Spoken/Comedy
N.W.A.,Rap/Hip-hop
Nana Mouskouri,International
Naná Vasconcelos,International
Nancy Sinatra,SodaPop
Nancy Wilson,Vocal
Naoya Matsuoka = Naoya Matsuoka,Jazz
Napalm Death,Metal
Nappy Brown,R&B
Nappy Brown With Teacho Wiltshire Orchestra,R&B
Nappy Roots,Rap/Hip-hop
Nas,Rap/Hip-hop
Nashville Chamber Orchestra,Childrens
Nat King Cole,Vocal
Nat King Cole / Ella Fitzgerald,Vocal
Nat Stuckey,Country
Nat Turner Rebellion,R&B
Natalie Cole,R&B
Naughty By Nature,Rap/Hip-hop
Neil Diamond,British Invasion
Neil Sedaka,SodaPop
Neil Young,NYCSN
Neil Young & Crazy Horse,NYCSN
Neil Young & The Shocking Pinks,NYCSN
Neil Young / International Harvesters,NYCSN
Neil Young + Crazy Horse,NYCSN
Neil Young + Promise Of The Real,NYCSN
Neil Young + The Stray Gators,NYCSN
Neil Young And Crazy Horse,NYCSN
Neil Young And The Bluenotes (5),NYCSN
Neil Young With Crazy Horse,NYCSN
Neko Case,AtlantaVerse
Neko Case & Her Boyfriends,AtlantaVerse
Nelson Olmsted,Childrens
Neurosis,Metal
Neurosis & Jarboe,Metal
Neutral Milk Hotel,AtlantaVerse
New Birth,R&B
New Order,Electronic
New Order,SodaPop
New York Dolls,GLAM
Nh� Hát Múa Rối Thăng Long,International
Nice 'N' Easy (3),International
Nick Cave & The Bad Seeds,SingSong
Nick Cave / Mick Harvey / Blixa Bargeld,SingSong
Nick Drake,SingSong
Nikhil Banerjee,International
"Nikolai Rimsky-Korsakov - New York Philharmonic, Kurt Masur",Classical
Nina Simone,Jazz
Nine Inch Nails,Metal
Nirmala Devi,International
Nirmala Devi & Lakshmi Shankar,International
Nirvana,Mini Garage
Nitty Gritty Dirt Band,Country
"Nitty Gritty Dirt Band Featuring Maybelle Carter, Earl Scruggs, Doc Watson, Roy Acuff, Merle Travis, Jimmy Martin Also Featuring Vassar Clements, Junior Huskey, Norman Blake (2), Pete 'Oswald' Kirby",Country
Nnamdi Ogbonnaya,SingSong
No Artist,Childrens
No Artist,Sound/Spoken/Comedy
No Doubt,Ska/Punk/Reggae
Noah Kahan,SingSong
Norma Tanega,Folk
Normy,Ska/Punk/Reggae
Notorious B.I.G.,Rap/Hip-hop
Now Explosion,AtlantaVerse
Nusrat Fateh Ali Khan & Roger White (2),International
Nyasia,Electronic
Oblivians,Mini Garage
OC Smith,R&B
Ocie Stockard And His Wanderers,Country
Ohio Express,R&B
Ohio Players,R&B
Ohmme (2) + The Aubreys,SodaPop
Oingo Boingo,Ska/Punk/Reggae
Oku Onuora & AK7,Ska/Punk/Reggae
Old 97's,Country
Olin Ivey,SodaPop
Oliver Mtukudzi,International
Olivia Newton-John,SodaPop
Olivia Rodrigo,SodaPop
Omar Rodriguez-Lopez,Metal
Omkarnath Thakur,International
Opal (2),PsychPaisley
Opal Foxx Quartet,AtlantaVerse
Orchester Kay Webb,Classical
Orchestra Baobab,International
"Orchestra Of The Royal Opera House, Covent Garden, Robert Irving (2)",Classical
Orchestral Manoeuvres In The Dark,SodaPop
Ornette Coleman,Jazz
Orson Welles,Sound/Spoken/Comedy
Oscar Peterson,Jazz
Osibisa,International
Otis Redding,R&B
Otis Williams & The Charms,R&B
OutKast,Rap/Hip-hop
Outlaws,BoogerJam
Owen Snake Chapman,Billy
P.K. Chishala,International
Paco De Lucia,International
Palace,Country
Pali Lakatos And His Original Gipsy Orchestra,International
Palms (4),Metal
"Pandit Maniram Ji, Pandit Pratap Narayan, Pandit Jasraj",International
Pandit Shiv Kumar Sharma,International
Pandit Shiv Kumar Sharma & Brij Bhushan Kabra,International
Pandit Shiv Kumar Sharma With Zakir Hussain,International
"Pandit Shiv Kumar Sharma, Rahul Sharma (2), Zakir Hussain",International
Panic! At The Disco,SodaPop
Pankaj Udhas,International
"Paola Prestini, Melica Paranosic",Stage & Screen
Papa Wemba,International
Paquito D'Rivera Quintet,International
Parekh & Singh,SodaPop
Parlet,GeorgeClintonFam
Parliament,GeorgeClintonFam
Parvathy Baul,International
Parween Sultana,International
Parween Sultana & Dilshad Khan,International
Pat Boone,SodaPop
Pat Metheny Group,Jazz
Pat Metheny W/ Charlie Haden & Billy Higgins,Jazz
Patsy Cline,Country
Patterson Hood,AtlantaVerse
Patti LaBelle,R&B
Patti LaBelle And The Bluebells,R&B
Patti Page,Holiday
Patti Smith Group,Ska/Punk/Reggae
Paul & Linda McCartney,British Invasion
Paul Anka,SodaPop
Paul Gayten & His Orchestra,Jazz
Paul McCartney,British Invasion
Paul Revere & The Raiders,SodaPop
Paul Revere & The Raiders Featuring Mark Lindsay,SodaPop
Paul Simon,SingSong
Paul Westerberg,PROTO
Paul Westerberg / Grandpa Boy,PROTO
Paul Weston And His Orchestra With Matt Dennis,Jazz
Paula Fernandes,International
Pavement,Mini Garage
Peaches & Herb,R&B
Peg Leg Howell,AtlantaVerse
Peg Leg Sam Featuring Louisiana Red,Blues
Peggy Lee,Country
Peggy Lee,Vocal
Peggy Lee With Dave Barbour Orchestra / Peggy Lee,Country
Peggy March,SodaPop
Penguin Cafe Orchestra,Electronic
Pepe Jaramillo And His Latin-American Rhythm,International
Percy Sledge,R&B
Pere Ubu,PROTO
Pernice Brothers,SodaPop
Perry Como,Vocal
Perry Como With Henri René And His Orchestra And Chorus,Vocal
Pete Seeger,Folk
Pete Seeger and Sonny Terry,Folk
Peter Case,SingSong
Peter Frampton,Super
Peter Gabriel,PsychPaisley
Peter Pan Players,Childrens
"Peter, Paul & Mary",Folk
Phantom 309 (2),AtlantaVerse
Phil Collins,SodaPop
Phil Harris And His Orchestra,Billy
"Phil Harris, Sebastian Cabot, Louis Prima, George Sanders, Sterling Holloway",Stage & Screen
Philip Glass,Mini Garage
Phinda,International
Phoebe Bridgers,SingSong
Phoebe Bridgers & Rob Moose,SingSong
Piano Red,AtlantaVerse
Pigmeat Markham,Sound/Spoken/Comedy
Pink Floyd,PsychPaisley
Pink Siifu & Fly Anakin,Rap/Hip-hop
Pixies,PROTO
Poco (3),SodaPop
Pointer Sisters,R&B
Pokey LaFarge,SingSong
Poncho Sanchez,Jazz
Porcupine Tree,PsychPaisley
Porter Wagoner,GLAM
Porter Wagoner And Dolly Parton,GLAM
Portishead,Electronic
Pow Wows,Mini Garage
Prabha Atre,International
Pradyumna Sharma,International
Preservation Hall Jazz Band,Jazz
Primus,Metal
Prince,PROTO
Prince Nico Mbarga And Rocafil Jazz,International
Prof. Harold Boggs and Lula Reed,Religious
Professor Longhair,R&B
Professor Washboard,Jazz
Professor Washboard & Dr. Harmonica,Jazz
Psycho Realm,Rap/Hip-hop
Public Enemy,Rap/Hip-hop
Punch Brothers,Folk
Pure Prairie League,BoogerJam
Pygmies of Ituri Forest,International
Pylon (4),AtlantaVerse
"Pyotr Ilyich Tchaikovsky - Bolshoi Theatre Orchestra, Gennadi Rozhdestvensky",Classical
Pyotr Ilyich Tchaikovsky - Большой Симфонический Оркестр Всесоюзного Радио ∙ Gennadi Rozhdestvensky,Classical
"Pyotr Ilyich Tchaikovsky - Wiener Philharmoniker, James Levine (2)",Classical
Pyotr Ilyich Tchaikovsky = Pyotr Ilyich Tchaikovsky,Classical
"Pyotr Ilyich Tchaikovsky – David Oistrach, Eugene Ormandy, The Philadelphia Orchestra",Classical
"Pyotr Ilyich Tchaikovsky, Chicago Symphony Orchestra, Georg Solti",Classical
"Pyotr Ilyich Tchaikovsky, Evgeny Mravinsky, Leningrad Philharmonic Orchestra",Classical
"Pyotr Ilyich Tchaikovsky, Leonard Bernstein, New York Philharmonic",Classical
"Pyotr Ilyich Tchaikovsky, Mikhail Ivanovich Glinka",Classical
Queen,GLAM
Queen,PROTO
Queens Of The Stone Age,Metal
Quicksand (3),Metal
Quincy Jones And His Orchestra,Jazz
Quintron And Miss Pussycat,PROTO
R. D. Burman,International
"R. D. Burman, Anand Bakshi",International
"R. D. Burman, Gulzar",International
R.E.M.,AtlantaVerse
Radiohead,SodaPop
Raelets,R&B
Raheem,Rap/Hip-hop
Rail Band,International
Rais Khan,International
Rakim,Rap/Hip-hop
Ralph Carmichael Orchestra,Holiday
Ralph Marterie And His Orchestra,Jazz
Ralph Stanley And The Clinch Mountain Boys,Billy
"Ralph Vaughan Williams / Neil Black (3), Arnold Jacobs, Pinchas Zukerman, English Chamber Orchestra, Chicago Symphony Orchestra, Daniel Barenboim",Classical
Ralph's World,Childrens
Ram Jam,SodaPop
Ram Narayan,International
Rammstein,Metal
Ramones,PROTO
Ramsey Lewis,Jazz
Randy Newman,SingSong
Randy Travis,Country
Rank & File,Mini Garage
Ransom (5) & Dave East,Rap/Hip-hop
Rappin' Duke,Sound/Spoken/Comedy
Ratboys,Billy
Ravi Shankar,International
"Ravi Shankar & Ali Akbar Khan, Alla Rakha",International
Ravi Shankar / Ustad Ahmedjan Thirakhwa,International
Ravi Shankar And Ali Akbar Khan,International
Ravindra Jain,International
Ray Charles,AtlantaVerse
Ray Charles And His Band,AtlantaVerse
Ray Charles And His Orchestra,AtlantaVerse
Ray Conniff And The Singers,Vocal
Ray Stevens,AtlantaVerse
Real McCoy,Electronic
Rebecca Pidgeon,Vocal
Recess Monkey,Childrens
Red Foley And The Cumberland Valley Boys / Red Foley,Country
Red Nichols,Jazz
Red Sovine,Country
Redd Kross,Ska/Punk/Reggae
Redd Kross / The Side Eyes,Ska/Punk/Reggae
Redd Stewart And His Kentucky Colonels,Country
Refused,Ska/Punk/Reggae
Rene & Angela,R&B
Reno And Smiley,Billy
REO Speedwagon,SodaPop
Rev. James Cleveland,Religious
Rev. James Cleveland And The Angelic Choir,Religious
Rev. James Cleveland And The Charles Fold Singers,Religious
Rev. James Cleveland And The Cleveland Singers,Religious
Rev. James Cleveland And The Southern California Community Choir,Religious
Rev. James Cleveland Presents The Charles Fold Singers,Religious
Rev. James Cleveland Presents The Salem Inspirational Choir,Religious
Rev. Oris Mays,Religious
Rev. W. Leo Daniels,Religious
Reverend Cleophus Robinson,Religious
Richard & Linda Thompson,Folk
Richard Pryor,Sound/Spoken/Comedy
"Richard Strauss - Fritz Reiner, Chicago Symphony Orchestra",Stage & Screen
Richard Thompson,Folk
Rick Dees & His Cast Of Idiots,Childrens
Rick Wakeman,PsychPaisley
Rickie Lee Jones,SingSong
Ricky Nelson (2),SodaPop
Ricky Skaggs & The Whites,Billy
Right As Rain,AtlantaVerse
Rilo Kiley,Billy
"Risë Stevens • Jan Peerce • Licia Albanese • Robert Merrill, The Robert Shaw Chorale, Robert Shaw, RCA Victor Symphony Orchestra, Fritz Reiner",Stage & Screen
Ritchie Valens,SodaPop
Rob Wasserman,PsychPaisley
Robbie Fulks,Billy
"Robert Casadesus, Gaby Casadesus, Jean Casadesus, Eugene Ormandy, The Philadelphia Orchestra, Johann Sebastian Bach, Wolfgang Amadeus Mozart",Classical
Robert Crumb And His Cheap Suit Serenaders,Jazz
Robert Fripp,SodaPop
Robert Johnson,Blues
Robert Mitchum,Stage & Screen
Robert Palmer,R&B
Robert Parker,R&B
Robert Plant | Alison Krauss,Folk
Roberta Flack,R&B
Roberto Delgado & His Orchestra,International
Robin Trower,SodaPop
Rockpile,SodaPop
Rod Stewart,SodaPop
Rodgers & Hammerstein,Stage & Screen
Rodgers & Hammerstein - Julie Andrews,Stage & Screen
"Rodgers & Hammerstein / Julie Andrews, Christopher Plummer, Irwin Kostal",Stage & Screen
Rodgers & Hammerstein Present Gertrude Lawrence With Yul Brynner,Stage & Screen
Roger Knox And The Pine Valley Cosmonauts,Billy
Roger Miller,PROTO
Roger Waters,PsychPaisley
Roger Williams (2),Classical
Roky Erickson With Okkervil River,PsychPaisley
Roland Kirk,SodaPop
Ron Goodwin And His Orchestra,Classical
Ronnie Hawkins,Billy
Roosevelt Sykes,Blues
Rory Gallagher,Blues
Rosalia (3),International
Rosanne Cash,Cash-Carter Fam
Roscoe Shelton,R&B
Rosemary Clooney,Vocal
Rova Saxophone Quartet,Jazz
Rova Saxophone Quartet Plays Steve Lacy,Jazz
Roxy Music,GLAM
Roy Acuff & His Crazy Tennesseans,Country
Roy Acuff And His Smoky Mountain Boys,Country
Roy Clark,Country
"Roy Clark And Clarence ""Gatemouth"" Brown",Blues
Roy Hamilton (5),R&B
Roy Orbison,Wilburys
Roy Rogers (3),Country
Ruben And The Jets,Antelope Valley
Ruben Blades Y Seis Del Solar,International
Ruby Winters,R&B
"Rudy Green, Rudy Green And The Four Buddies (3)",R&B
Rufus & Chaka Khan,R&B
Rufus & Chaka Khan / Rufus,R&B
Rufus Thomas,R&B
Ruggiero Ricci,Classical
Run-DMC,Rap/Hip-hop
Rush,PROTO
Russ Hamilton,SodaPop
Rusty Draper,Country
Ruth Brown,R&B
Ruth Welcome,Jazz
Ry Cooder,Antelope Valley
Ry Cooder,Stage & Screen
S. D. Burman,International
"S. D. Burman, Anand Bakshi",International
S. E. Rogie,International
S. Kiyotaka & Omega Tribe,International
S. N. Tripathi,International
Sabicas And Carlos Montoya,International
Sade,R&B
Safari Sound Band,International
Saga (3),Metal
Sakhile,International
Salif Keita,International
Salma Agha,International
Salt 'N' Pepa,Rap/Hip-hop
Sam Cooke,R&B
Sam Hinton,Folk
Sam Phillips,SingSong
Sam Rivers,Jazz
Sam The Sham & The Pharaohs,SodaPop
Samantha Fish,Blues
Samba Soul,International
Sammy Barnhart,Country
Sammy Kaye,Jazz
Sandra Boynton,Childrens
Santana,BoogerJam
Sapan Jagmohan,International
Saragossa Band,R&B
Sarah Vaughan,Jazz
Sascha Jacobsen (2),Classical
Satish Babbar,International
Saturday Session Band,AtlantaVerse
Savia Andina,International
Scandal (4),SodaPop
Scarface (3),Rap/Hip-hop
Scissor Sisters,SodaPop
Scorpions,Metal
Scott Joplin,Jazz
Seals & Crofts,SodaPop
See New Project,International
Segun Adewale And His Superstars International,International
Selena,PROTO
Sen Morimoto,SodaPop
Sergei Vasilyevich Rachmaninoff / Byron Janis / Antal Dorati / Minneapolis Symphony Orchestra,Classical
Sergio Mendes & Brasil '66,International
Serious Bizness,Folk
Sesame Street,Childrens
Sex Pistols,Ska/Punk/Reggae
Shaboozey,Rap/Hip-hop
Shakti (2) With John McLaughlin,Jazz
Shamim Ahmed With Latif Ahmed Khan,International
"Sharan Rani, Alla Rakha",International
Sharkey And His Kings Of Dixieland,Jazz
Sheb Wooley,Country
Sheer Mag,SodaPop
Sheila & B. Devotion,International
Shel Silverstein,SingSong
Shenandoah,Country
Shirley Bassey,Vocal
Shirley Brown,R&B
Shirley Caesar,Religious
Shirley Gunter & The Queens,R&B
Shobha Gurtu,International
Shonen Knife,Ska/Punk/Reggae
Shooting Daggers,Riot Grrrl Pluse Sic
Shooting Daggers / Death Pill,Riot Grrrl Pluse Sic
Shriekback,SodaPop
Sidney Bechet,Jazz
Sidney Bechet And His New Orleans Rhythm Kings,Jazz
Sierra Hull,Billy
Simon & Garfunkel,PROTO
Simon & Garfunkel,SingSong
Simon Mahlathini Nkabinde,International
Sinead O'Connor,SingSong
Singers Of The Art Of Living,International
Sister Jessie Mae Renfro,Religious
Sister Rosetta Tharpe,PROTO
Sister Sledge,R&B
Sixto Rodriguez,SodaPop
Siya Ram Tewari,International
Skeets Yaney,Country
Skeleton Goode,International
Skids,Ska/Punk/Reggae
Skipper Shabalala,International
Skyzoo,Rap/Hip-hop
Slade,GLAM
Slave Featuring Steve Arrington,R&B
Slayer,Metal
Sleater-Kinney,Riot Grrrl Pluse Sic
Sleepy John Estes,Blues
Slick Rick,Rap/Hip-hop
Slim Harpo,Blues
Sly & The Family Stone,R&B
Small Faces,British Invasion
Smoke (26),AtlantaVerse
Smokey Robinson,R&B
Smothers Brothers,Sound/Spoken/Comedy
Snail Mail (2),SingSong
Snooks Eaglin,International
Snoop Dogg,Rap/Hip-hop
Soccer Mommy,Ska/Punk/Reggae
Soccer Mommy,SodaPop
Sofia Kourtesis,Electronic
Soft Cell,SodaPop
Solomon Burke,R&B
Son House,Blues
Son Seals,Blues
Son Volt,Country
Songs: Ohia,Country
Sonic Youth,PROTO
Sonny & Cher,Super
Sonny Boy Williamson (2),Blues
Sonny Boy Williamson (2) + The Animals,Blues
Sonny James,Country
Sonny Rollins,Jazz
Sonny Terry,Blues
Sonny Terry & Brownie McGhee,Blues
Sonny Terry And Blind Gary Davis,Blues
"Sonny Terry, Johnny Winter, Willie Dixon, Styve Homnick",Blues
Soul Asylum,SodaPop
Soul Generation,R&B
Soul Rebels Brass Band,International
Southern Avenue,R&B
Southern Culture On The Skids,AtlantaVerse
Space Cadets (4),R&B
Spacemen 3,PsychPaisley
Sparks,PROTO
Spinners,R&B
Split Enz,SodaPop
Spoon,SodaPop
Squeeze (2),SodaPop
St Germain,Electronic
St. Paul & The Broken Bones,R&B
Stéphane Grappelli,Jazz
Stan Getz,Jazz
Stan Getz / Charlie Byrd,Jazz
Stan Getz / Dave Brubeck,Jazz
Stan Getz And João Gilberto Featuring Antonio Carlos Jobim,Jazz
Stan Getz And The Oscar Peterson Trio,Jazz
Stan Getz With Laurindo Almeida,Jazz
Stan Kenton And His Orchestra,Jazz
Stan Ridgway,SodaPop
Stanley Black,Jazz
Stanley Clarke,Jazz
Stanley Turrentine,R&B
Starbuck (2),SodaPop
Starland Vocal Band,SodaPop
Status Quo,British Invasion
Steeleye Span,Folk
Steely Dan,PROTO
Steely Dan,SodaPop
Stef Meeder,SodaPop
Stephen Stills,NYCSN
Stephen Stills / Manassas,NYCSN
Steppenwolf,Metal
Sterling Holloway - Tutti Camarata,Stage & Screen
Sterling Holloway And Tutti Camarata,Stage & Screen
Steve Earle,SingSong
Steve Earle & The Dukes,Country
Steve Earle & The Dukes (And Duchesses),Country
Steve Karmen,SodaPop
Steve Martin (2),Sound/Spoken/Comedy
Steve Miller,SingSong
Steve Miller Band,SingSong
Stevie Nicks,Super
Stevie Ray Vaughan & Double Trouble,Blues
Stevie Wonder,PROTO
Stewart Copeland,Stage & Screen
Stiff Little Fingers,Ska/Punk/Reggae
Stillwater (2),AtlantaVerse
Sting,SingSong
Stray Cats,Billy
Sturgill Simpson,Country
Styx,SodaPop
Sublime (2),Rap/Hip-hop
Subsonics,AtlantaVerse
Sue Richards,Folk
Suede,GLAM
Sufjan Stevens,SodaPop
Sugar Pie Desanto,R&B
Sugarhill Gang,Rap/Hip-hop
Sugarland (2),AtlantaVerse
Suicide,Ska/Punk/Reggae
Suman Kalyanpur,International
Sun Ra,Jazz
Sunn O))) & Boris (3),Metal
Sunny War,SingSong
Sunshine Slim Sweet And The Georgia Farmhands,Country
Super Chikan,Blues
Super Mama Djombo,International
Superorganism,SodaPop
Supersuckers,Metal
Supertramp,SodaPop
Suzi Quatro,GLAM
Sweet Honey In The Rock,Religious
Syd Barrett,PsychPaisley
Sydney Devine,Folk
Sylvia Syms,Vocal
SZA (2),R&B
T. Rex,GLAM
T. Texas Tyler,Country
Taana Gardner,R&B
Tabby West,Country
"Tabu Ley Rochereau, Rene Kassanda, Ndombe Opetum & Orchestre Afrisa L'International",International
Taj Mahal,Blues
"Taj Mahal, Toumani Diabaté",Blues
Talat Aziz,International
Talking Heads,PROTO
Tammy Wynette,Country
"Tampa Red, Big Maceo",AtlantaVerse
Tangerine Dream,Electronic
Tank and the Bangas,R&B
Tatsuro Yamashita,International
Taxi (14),International
Taylor Swift,SingSong
T-Bone Walker,Blues
Team Dresch,Riot Grrrl Pluse Sic
Ted Daffan's Texans,Billy
Ted Nugent,Metal
Ted Nugent & The Amboy Dukes,Metal
Ted Weems And His Orchestra,Jazz
Tedeschi Trucks Band,BoogerJam
Teen Mortgage,Ska/Punk/Reggae
Television,PROTO
Tenement Halls,AtlantaVerse
Tennessee Ernie Ford,Country
Terence Blanchard,International
Terrance Simien And The Zydeco Experience,International
Terry Jacks,SingSong
Terry Snyder And The All Stars,Jazz
The 5 Red Caps,Jazz
The 5 Royales,R&B
"The 5 Royales, Charlie (Little Jazz) Ferguson And His Orchestra",R&B
The 5.6.7.8's,Billy
The 50 Guitars Of Tommy Garrett,SodaPop
The Alan Parsons Project,SodaPop
The Allman Brothers Band,BoogerJam
The Ames Brothers,Vocal
The Angelic Gospel Singers,Religious
The Animals,British Invasion
The Archies,SodaPop
The Art Ensemble Of Chicago,Jazz
The Avalanches,Rap/Hip-hop
The B-52's,AtlantaVerse
The Bagdads,R&B
The Band,Wilburys
The Basin Street Boys With Eddie Beal And His Fourtette,Jazz
The Beach Boys,PROTO
The Beagles (2) / Fred York,SodaPop
The Bears (3),SodaPop
The Beat Farmers,Billy
The Beatles,British Invasion
The Belfast Gypsies,Mini Garage
The Beta Band,Electronic
The Black Angels,PsychPaisley
The Black Keys,Mini Garage
The Black Lips,AtlantaVerse
The Blasters,Billy
The Blue Chips (12),Billy
The Blue Things,Mini Garage
The Boggs,Folk
The Boomtown Rats,Ska/Punk/Reggae
The Bottle Rockets,BoogerJam
The Breeders,Mini Garage
The Brothers Four,Folk
The Buckinghams,SodaPop
The Byrds,PsychPaisley
The Cadillacs,SodaPop
The Cannonball Adderley Quintet,Jazz
The Capitols,R&B
The Caravans (2),Religious
The Cars,SodaPop
The Charles Lloyd Quartet,Jazz
The Charlie Daniels Band,BoogerJam
The Charlie Daniels Band,Country
The Charms,R&B
The Chemical Brothers,Electronic
The Chipmunks,Childrens
"The Chipmunks, Alvin, Simon And Theodore With David Seville",Childrens
The Clash,PROTO
The Claypool Lennon Delirium,Metal
The Coasters,R&B
The Colourfield,SodaPop
The Communards,SodaPop
The Consolers,Religious
The Contours,R&B
The Coolies (2),AtlantaVerse
The Corn Sisters,AtlantaVerse
The Corrs,International
The Cramps,Billy
The Cranberries,SodaPop
The Crash Crew,Rap/Hip-hop
The Crickets,PROTO
The Cure,SodaPop
The Cynics,Mini Garage
The Damned,Ska/Punk/Reggae
The Dave Brubeck Quartet,Jazz
The Dave Brubeck Quartet Featuring Jimmy Rushing,Jazz
The Dead Boys,Ska/Punk/Reggae
The Dead Milkmen,Ska/Punk/Reggae
The Dears,SodaPop
The Del Fuegos,Billy
The Dells,R&B
The Dell-Vikings,R&B
The Delta Merchant,R&B
The Diamonds,R&B
The Dictators,Ska/Punk/Reggae
The Dirt Band,Billy
The Dirty Dozen Brass Band,International
"The Dixie Hummingbirds, The Angelic Gospel Singers",Religious
The Dodos,SodaPop
The Dodos & Magik*Magik Orchestra,SodaPop
The Dollyrots,Ska/Punk/Reggae
The Dominoes,R&B
The Donald Vails Choraleers,Religious
The Donnas,Ska/Punk/Reggae
The Doobie Brothers,BoogerJam
The Doobie Brothers,PsychPaisley
The Doors,PsychPaisley
The Dramatics,R&B
The Dream Syndicate,PsychPaisley
The Drifters Featuring Clyde McPhatter And Bill Pinkney,R&B
The Early Music Consort Of London Conducted By David Munrow With Christopher Hogwood,Classical
"The Early Music Consort Of London, David Munrow",Classical
The Equals,R&B
The Fall,Ska/Punk/Reggae
The Feelies,SodaPop
The Fifth Dimension,PsychPaisley
The Firesign Theatre,Sound/Spoken/Comedy
The Fixx,SodaPop
The Flamin' Groovies,Mini Garage
The Flaming Lips,SodaPop
The Flat Five,AtlantaVerse
The Flatlanders,Country
The Folksmiths,Folk
The Four Seasons,SodaPop
The Four Tunes,R&B
The Frank Barber Percussion,Jazz
The Freddie Kohlman Orchestra,Jazz
The Fugs,Folk
The Fugs,PsychPaisley
The Futures,R&B
The Fuzzy Mountain String Band,Billy
The Gamblers (2),Billy
The Gap Band,R&B
The George Garabedian Players,Holiday
The George Mitchell Minstrels,Stage & Screen
The Georgia Satellites,AtlantaVerse
The Georgia Thunderbolts,BoogerJam
The Gestures,Mini Garage
The Gits (2),Ska/Punk/Reggae
The Golden Palominos,Super
The Gories,Mini Garage
The Grass Roots,SodaPop
The Grateful Dead,BoogerJam
The Greeting Committee,SingSong
The Grid / Robert Fripp,Electronic
The Gun Club,Billy
The Hard Times,Mini Garage
The Harry Simeone Chorale,Holiday
The Heartbeats,R&B
The Heath Brothers,Jazz
The Hellacopters,Mini Garage
The Henchmen (17),Mini Garage
The Hives,Mini Garage
The Hollies,British Invasion
The Horace Silver Quintet,Jazz
The Hot Dogs,SodaPop
The Impressions,R&B
The Independents,R&B
The Ink Spots,R&B
The Ink Spots,Vocal
The Ink Spots (2),R&B
The Ink Spots And Ella Fitzgerald,R&B
The Innocence,SodaPop
The Intruders,R&B
The Isley Brothers,R&B
The Isley Brothers / The I.B. Special,R&B
The J. Geils Band,BoogerJam
The Jackson 5,R&B
The Jaggerz,R&B
The Jam,Ska/Punk/Reggae
The James Last Band,Jazz
The Japanese House,Electronic
The Jazz Butcher,PROTO
The Jazz Butcher,SingSong
The Jesus Lizard,AtlantaVerse
The Jim Carroll Band,Ska/Punk/Reggae
The Jimi Hendrix Experience,BoogerJam
The Jimi Hendrix Experience,PROTO
The Jimmy Castor Bunch,R&B
The Jody Grind,AtlantaVerse
The Joe Harriott Double Quintet,Jazz
The John Coltrane Quartet,Jazz
The Johnny Cash Family,Cash-Carter Fam
The Killers,SodaPop
The Kills,Mini Garage
The Kindly Shepherds,Religious
The Kinks,British Invasion
The Klaudt Indian Family,Religious
The Knack (3),SodaPop
The Libertines,SodaPop
The Long Ryders,Billy
The Louvin Brothers,PROTO
The Love Hall Tryst,AtlantaVerse
The Lumineers,SodaPop
The Maiden Theatre Company,Childrens
The Mamas & The Papas,Folk
The Manhattan Transfer,Jazz
The Marías,SodaPop
The Marx Brothers,Sound/Spoken/Comedy
The McCoys,SodaPop
The Mekons,SodaPop
The Mercy Seat,Religious
The Meters,R&B
