RoverRecord Artist,RoverRecord Bent Genre
City Boy,PsychPaisley
Clairo (2),SingSong
Clara Ward,Religious
Clara Ward And Ward Singers,Religious
"Clarence ""Gatemouth"" Brown",Blues
Clark Dennis,Vocal
Clark Terry,Jazz
Claude Cloud And His Thunderclaps,SodaPop
Cliff Nobles,R&B
Cliffie Stone And His Hometown Jamboree Gang,Country
Clifford Brown,Jazz
Clifton Chenier,R&B
Clipse,Rap/Hip-hop
Clobber,AtlantaVerse
Clutch,Metal
Clyde McPhatter,R&B
Coleman Hawkins,Jazz
"Collegium Aureum, Elly Ameling",Classical
Commander Cody And His Lost Planet Airmen,BoogerJam
Compay Segundo,International
Conan Gray,SingSong
Connie Dee / Charlie Jarrett,Vocal
Connie Francis,Country
Conway Twitty,Country
Cootie Stark,Blues
Coro De Monjes Del Monasterio De Santo Domingo De Silos,International
Count Basie,Jazz
Count Basie Orchestra,Jazz
Country Joe And The Fish,BoogerJam
Cowboy Copas,Billy
Cracker,Ska/Punk/Reggae
Crass,Ska/Punk/Reggae
Cream,Super
Cream (2),Super
Creedence Clearwater Revival,PsychPaisley
Creedle,PROTO
Creedle / Deadbolt,PROTO
Cripple Clarence Lofton,Blues
Cris Williamson,Riot Grrrl Pluse Sic
Crosby & Nash,NYCSN
"Crosby, Stills & Nash",NYCSN
"Crosby, Stills, Nash & Young",NYCSN
Curtis Mayfield,R&B
Cutie Karen LaMonte / Honey Gabore,SodaPop
Cyndi Lauper,PROTO
Cypress Hill,Rap/Hip-hop
Daft Punk,Electronic
Dale Hawkins,Billy
Daliah Lavi,International
Dan Deacon,Electronic
Dan Zanes And Friends,Childrens
Danger Doom,Rap/Hip-hop
Danger Mouse,Rap/Hip-hop
"Daniel Barenboim / Itzhak Perlman / Pinchas Zukerman / Johann Sebastian Bach, English Chamber Orchestra",Classical
Daniel Johnston,SingSong
Danny Elfman,Ska/Punk/Reggae
Danny Kaye (2),Childrens
Danzig,Metal
Dash Rip Rock,AtlantaVerse
Dave Alvin,Billy
Dave Edmunds & Love Sculpture,SodaPop
Dave Mason,SodaPop
Dave Matthews Band,BoogerJam
David Allan Coe,Country
David Bowie,GLAM
David Byrne,GLAM
David Crosby,NYCSN
David Dee (3),Blues
David Fanshawe,Classical
"David Frost Presents Mark Wynter, Joan Turner, John Moffat, John Gower, Rosemary Parker, Mike Sammes Singers, Leslie Phillips (2), Geoff Love & His Orchestra",Stage & Screen
"David Holland Quartet - Dave Holland, Sam Rivers, Anthony Braxton, Barry Altschul",Jazz
David Holt (5),Folk
"David Longstreth, Dirty Projectors, Stargaze (4)",Electronic
David Lowery,SingSong
David Munrow & The Early Music Consort Of London,Classical
"David Munrow / Georg Philipp Telemann, Giuseppe Sammartini, Georg Friedrich Händel",Classical
"David Munrow, The Early Music Consort Of London",Classical
"David Oistrach , The Philadelphia Orchestra / Eugene Ormandy, Jean Sibelius",Classical
"David Oistrach, Hans Pischner, Johann Sebastian Bach",Classical
"David Oistrach, Mstislav Rostropovich, Sviatoslav Richter, Herbert von Karajan, Berliner Philharmoniker, Ludwig van Beethoven",Classical
"David Oistrach, Sviatoslav Richter / Johannes Brahms / Sergei Prokofiev",Classical
"David Oistrach, Wolfgang Amadeus Mozart, Johannes Brahms, Pyotr Ilyich Tchaikovsky, Staatskapelle Dresden, Franz Konwitschny",Classical
David Peel & The Lower East Side,Sound/Spoken/Comedy
David Rose & His Orchestra,Classical
David Rose & His Orchestra / Artie Shaw And His Orchestra,Classical
David Ruffin,R&B
David Sedaris,Sound/Spoken/Comedy
David Seville And The Chipmunks,Childrens
De La Soul,Rap/Hip-hop
Dead Kennedys,Ska/Punk/Reggae
Deadly Venoms,Rap/Hip-hop
Deafheaven,Metal
Dean Martin,Vocal
Death Cab For Cutie,SodaPop
Death Pill,Riot Grrrl Pluse Sic
Debabrata Biswas,International
Deep Purple,Metal
Deerhunter,AtlantaVerse
Def Squad Presents Erick Onasis & Slick Rick,Rap/Hip-hop
Deftones,Metal
Degung Orchestra,International
Dehd,SodaPop
Deke Dickerson & The Ecco-Fonics,Billy
Del Marino,Vocal
Del Shannon,SodaPop
Dele Abiodun,International
Della Reese,Jazz
Dengue Fever,SodaPop
Denise LaSalle,R&B
Des Demonas,Ska/Punk/Reggae
Devo,PROTO
Dewey Redman,Jazz
Dex Romweber Duo,Billy
Dexter Gordon,Jazz
Dexter Romweber,Billy
Diana King,Ska/Punk/Reggae
Diana Ross & Marvin Gaye,R&B
"Dick ""Two Ton"" Baker And His Music Makers",Jazz
Dick Clark (2),SodaPop
Dick Dale,PROTO
Dick Haymes,Vocal
Dickey Lee,Country
Dickie Goodman,Country
Digital Underground,Rap/Hip-hop
Dijon (7),R&B
Dinah Washington,Blues
Dinah Washington,Jazz
Dinosaur Jr.,SodaPop
Dire Straits,SodaPop
"Dirk Powell, Tim O'Brien (3), John Herrmann (2)",Country
Dirt,AtlantaVerse
Disneyland Boys Choir,Childrens
Divinyls,SodaPop
Dizzy Gillespie,Jazz
Dizzy Gillespie Quintet,Jazz
DJ Cleo,Billy
DJ Jazzy Jeff & The Fresh Prince,Rap/Hip-hop
Django Reinhardt,Jazz
Django Reinhardt & Stéphane Grappelli With Quintette Du Hot Club De France,Jazz
"Django Reinhardt, Stéphane Grappelli",Jazz
Dobet Gnahore,International
Doc Tommy Scott's Snake Oil Band,Billy
Doc Watson,Folk
Doc Watson & David Holt (5),Folk
Doc Watson & Merle Watson,Folk
Doc Watson And Clarence Ashley,Folk
Doechii,Rap/Hip-hop
Dolly Parton,Riot Grrrl Pluse Sic
Don Cherry,R&B
Don Cherry (2),R&B
Don Covay,R&B
Don Henley,SodaPop
Don Imus,Sound/Spoken/Comedy
Don McLean,SingSong
Don Pablo's Animals,Electronic
Don Reeve (2),Electronic
Don Williams (2),Country
Donald Byrd,Jazz
Donald Vails And The Voices Of Deliverance,Religious
Donna Summer,R&B
Donnie & Joe Emerson,Mini Garage
Donny Osmond,Vocal
Donovan,British Invasion
Dope Saint Jude,Rap/Hip-hop
Doros (2),International
Dorothy Collins,Vocal
"Dorothy Love Coates And Her Singers Of Birmingham, Alabama",Religious
Dorothy Moore,R&B
Dottie West,Country
Doug Clark & The Hot Nuts,Jazz
Dr. Alimantado,Ska/Punk/Reggae
Dr. Buzzard's Original Savannah Band,R&B
Dr. C. J. Johnson,Religious
Dr. Charles G. Hayes And The Cosmopolitan Church Of Prayer Choir,Religious
Dr. Dre,Rap/Hip-hop
Dr. Hook & The Medicine Show,Billy
Dr. John,R&B
"Dr. Martin Luther King, Jr.",Sound/Spoken/Comedy
Drive-By Truckers,AtlantaVerse
Drivin' N' Cryin',AtlantaVerse
Drunken Master (5),Rap/Hip-hop
Duane Eddy And The Rebels,Billy
"Duane Eddy, Duane Eddy And The Rebels Featuring The Rebelettes",Billy
Dub Specialist,Ska/Punk/Reggae
Dudu Pukwana,International
Duke Ellington,Jazz
Duke Ellington • Charles Mingus • Max Roach,Jazz
Duke Ellington And His Orchestra,Jazz
Duke Ellington And Johnny Hodges,Jazz
Dukes Of Dixieland,Jazz
Dwight Yoakam,SingSong
Dylan Thomas,Sound/Spoken/Comedy
E.U.,Rap/Hip-hop
Eagles,PROTO
Eagles Of Death Metal,Metal
Earl 'Connelly' King,R&B
Earl Fuller's Famous Jazz Band,Jazz
Earl Grant,Jazz
Earl King,R&B
Earl Scruggs,Billy
Earl Scruggs And The Earl Scruggs Revue,Billy
Earl Scruggs Revue,Billy
"Earth, Wind & Fire",R&B
Eartha Kitt,Vocal
Eartha Kitt With Henri René And His Orchestra,Vocal
Easy Going,Electronic
Echo & The Bunnymen,SodaPop
Ed Jordan And Alan Glass,Childrens
"Ed Jordan, Alan Glass",Childrens
Ed Sullivan,Stage & Screen
Eddie 9V,AtlantaVerse
Eddie Calvert,Jazz
Eddie Cochran,Billy
Eddie Gale,Jazz
Eddie Peabody,Jazz
Eddie Smith And The Chief,Jazz
Eddy Arnold,Country
Eddy Arnold And His Tennessee Plowboys,Country
Edmundo Ros And His Rumba Band,Vocal
Edwin Hawkins Singers,R&B
Edwin Starr,R&B
Eels,Electronic
Eiichi Ohtaki,International
El Rego Et Ses Commandos,International
Electric Light Orchestra,Wilburys
Electric Six,Mini Garage
Elephant Gym,International
Elisabeth Schwarzkopf,Holiday
Elizabeth Mitchell,Childrens
Ella Fitzgerald,Jazz
Ella Fitzgerald & Oscar Peterson,Jazz
Ella Fitzgerald And Count Basie,Jazz
Ella Fitzgerald And Duke Ellington,Jazz
"Ella Fitzgerald, Count Basie, Joe Williams",Jazz
Ella Jenkins,Childrens
Elliott Smith,SingSong
Elmore James,Blues
Elton John,GLAM
Elvin Bishop,Blues
Elvis Costello,PROTO
Elvis Costello,SingSong
Elvis Costello & The Attractions,PROTO
Elvis Costello & The Attractions,SingSong
Elvis Costello Featuring The Attractions And The Confederates,SingSong
Elvis Presley,Billy
"Emerson, Lake & Palmer",BoogerJam
"Emil Gilels, George Szell, The Cleveland Orchestra / Ludwig van Beethoven",Classical
Eminem,Rap/Hip-hop
Emmylou Harris,Riot Grrrl Pluse Sic
Emo Philips,Sound/Spoken/Comedy
Enchantment,R&B
English Teacher,SodaPop
Eno Hyde,PROTO
Enoch Light And The Light Brigade,Jazz
Ensemble Instrumental National Du Mali,International
Epik High,Rap/Hip-hop
Erasure,SodaPop
Eric Andersen (2),Folk
Eric B. & Rakim,Rap/Hip-hop
Eric Carmen,SodaPop
Eric Church,Country
Eric Clapton,Super
"Ernest Bloch, Musical Arts Quartet",Classical
Ernest Tubb,Country
Erroll Garner,Jazz
Ersel Hickey,Billy
Erykah Badu,R&B
Esy Grieco And His Orchestra,International
Ethel Smith And The Bando Carioca,International
Etta James,Blues
